12,17.81
4,11.19
13,19.08
121,51.04
121,48.95
121,51.71
15,17.59
13,18.37
5,13.34
121,52.35
121,51.41
121,52
13,18.21
12,16.02
10,15.91
121,50.45
121,52.2
121,52.08
13,17.65
5,12.84
12,17.34
121,50.34
121,50.43
121,50.89
11,16.01
13,19.1
12,17.61
121,56.1
121,50.85
121,50.19
11,15.59
6,14.99
14,17.43
121,55.01
121,52.82
121,49.05
0,5.85
16,17.19
13,15.78
14,19.28
16,25.78
121,51.99
121,52.76
121,50.13
0,6.22
13,16.16
15,15.36
18,18.95
11,21.36
121,54.02
121,49.33
121,48
12,17.21
9,16.77
15,19.08
121,50.01
121,57.54
121,48.2
10,17.46
6,13.4
13,18.25
121,48.16
121,51.99
121,55.15
8,16.22
14,20.49
14,19.6
121,54.14
121,48.11
121,51.29
10,18.96
11,18.5
12,18.85
122,52.91
121,55.64
121,58.95
11,17.1
11,16.32
13,18.58
122,51.76
121,52.23
121,52.09
0,6.55
13,10.38
12,19.34
22,22.19
11,20.21
17,28.03
9,26.32
13,29.11
4,27.37
122,45.46
122,54.74
121,52.1
10,17.94
11,20.09
10,17.16
122,53.59
122,53.46
121,55.18
12,18.61
9,17
11,18.46
121,54.51
121,52.08
122,53.6
0,6.89
7,8.78
15,19.37
16,18.51
11,23.77
10,18.16
9,22.73
12,25.46
122,50.83
121,56.39
121,54.13
11,18.78
11,18.2
9,16.92
121,53.31
122,52.81
121,53.36
10,17.05
9,18.68
11,20.61
121,55.22
123,53.52
121,55.17
13,13.25
12,17.51
12,18.84
12,19.97
15,26.03
2,23.55
13,26.25
10,25.55
121,57.1
121,59.82
121,55.45
9,14.9
9,15.29
13,18.56
121,54.52
122,50.61
121,55.32
13,18.08
0,5.34
13,20.41
24,28.4
3,29.23
13,28.98
6,28.33
122,56.88
121,53.96
121,54.95
4,8.96
13,18.2
13,17.7
12,16.01
9,21.6
121,53.86
121,54.29
122,48.7
9,16.35
10,18.7
10,19
122,52.53
122,51.6
122,51.67
11,16.84
9,17.6
11,17.91
11,26.51
122,53.27
122,50.8
121,53.3
0,5.87
11,17.93
13,16.04
10,17.37
6,21.26
6,21.56
10,22.6
122,53.46
122,55.39
121,52.4
12,16.84
7,14.57
13,17.57
122,53.5
122,47.96
122,49.77
11,17.66
10,16.36
12,18.84
121,57.73
121,51.01
121,53.34
9,16.61
11,18.54
13,19.92
121,59.19
121,56.36
121,53.9
10,17.37
10,17.37
13,18.76
12,26.69
122,55.08
122,50.6
121,53.48
11,16.86
10,17.83
13,19.85
121,51.49
121,50.58
121,50.34
3,11.4
11,16.2
10,15.21
121,52.14
122,51.54
121,52.01
10,16.66
9,17.14
8,17.34
121,54.14
121,53.96
122,53.08
7,15.91
11,17.49
11,18.51
121,55.1
122,53.95
121,51.96
0,5.17
13,14.28
17,16.83
13,15.94
9,17.66
19,25.48
7,21.91
18,24.07
5,26.98
122,53.88
122,53.83
121,52.36
14,17.26
9,16.15
13,19.32
121,52.6
121,51.3
122,55.1
10,17
7,14.48
11,18.1
121,56.63
121,50.59
122,53.87
9,16.96
11,20.02
9,21.85
121,55.61
122,52.9
121,54.88
12,19.11
11,17.54
11,19.81
122,54.18
121,54.54
121,52.76
9,15.25
11,19.09
12,18.55
121,56.14
122,52.52
122,53.27
11,18.79
10,18.05
15,20.23
7,23.01
2,21.92
122,54.46
121,53.44
123,54.29
121,56.69
122,53.77
83,55.56
122,55.2
10,17.26
9,18.05
9,17.93
121,55.69
121,52.49
122,53.27
10,17.38
7,16.63
12,18.08
122,54.02
121,52.19
121,53.11
14,16.62
11,18.4
10,18.75
121,55.12
121,56.03
121,51.2
6,13.41
11,18.46
15,20.17
122,53.72
122,52.08
121,51.95
11,16.84
11,18.13
8,17.07
121,51.87
121,55.2
121,51.8
12,18.98
8,16.58
10,17.91
121,54.72
122,51.69
122,53.11
9,14.96
12,18.92
12,18.68
122,53.11
121,52.72
121,54.06
10,16.23
9,15.27
14,19.4
122,49.76
121,51.33
121,53
7,14.05
14,18.78
8,16.35
6,21.27
24,31.03
3,21.74
2,27.2
121,53.13
121,53.63
121,54.35
7,15.29
11,18.44
12,18.05
121,50.68
122,51.9
122,52.78
0,5.24
13,19.52
14,19.92
15,22.54
6,22.44
122,56.14
121,56.98
121,58.59
10,19.12
10,17.12
13,18.63
121,52.69
121,52.02
122,57.66
10,17.18
11,18.44
13,20.85
121,54
121,53.13
121,49.45
14,16.76
9,15.42
10,19.32
7,21.42
2,22.06
5,23.91
123,54.91
122,57.11
121,51.88
123,56.83
122,60.67
122,53.7
11,19.82
9,15.65
13,20.94
10,21.87
121,61.72
121,56.62
121,56.34
10,15.51
12,17.61
12,17.03
121,53.95
121,56.67
121,52.72
13,18.15
12,18.63
14,18.19
121,56.31
121,51.68
121,59.2
9,17.11
11,16.43
10,18.29
121,53.16
122,53.83
122,52.65
0,6.13
12,18.87
10,17.9
15,19.73
14,24.57
121,55.2
123,54.55
122,51.83
2,8.55
10,17.04
14,20.22
121,51.47
122,52.98
121,51.66
12,19.77
11,17.93
11,17.53
122,51.64
121,53.87
121,55.98
9,17.41
11,16.58
13,19.92
121,52.77
121,53.61
121,52.65
103,55.56
121,60.47
121,58.49
11,15.99
11,15.45
13,19.21
121,50.37
122,50.32
121,52.38
0,6.98
18,13.77
13,17.04
13,20.11
14,26.21
15,21.56
7,25.84
7,24.74
121,55.94
121,52.13
122,54.29
12,18.31
2,8.81
15,14.77
17,21.21
19,26.89
121,57.63
121,51.62
122,50.79
12,18.23
